City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
160,Tshikapa,CD,2022-11-20 17:09:05,-6.4167,20.8,72.05,92,78,2.53
161,Whitehorse,CA,2022-11-20 17:09:06,60.7161,-135.0538,28.02,93,100,21.0
162,Ambon,ID,2022-11-20 17:09:06,-3.6954,128.1814,77.14,94,40,6.91
163,Faya,SA,2022-11-20 17:09:07,18.3851,42.4509,63.12,49,31,11.72
164,Lappeenranta,FI,2022-11-20 17:09:07,61.0587,28.1887,27.79,93,100,5.75
165,Tursunzoda,TJ,2022-11-20 17:09:08,38.5144,68.2333,50.09,42,27,6.06
166,Abha,SA,2022-11-20 17:09:08,18.2164,42.5053,62.85,34,20,13.8
167,Rodrigues Alves,BR,2022-11-20 17:09:08,-7.738,-72.6509,97.77,36,31,4.52
168,Carnarvon,AU,2022-11-20 17:09:09,-24.8667,113.6333,69.46,69,0,20.85
169,Saskylakh,RU,2022-11-20 17:09:09,71.9167,114.0833,-18.53,99,98,1.32
170,Byron Bay,AU,2022-11-20 17:06:41,-28.65,153.6167,70.52,50,89,7.18
171,Chino,US,2022-11-20 17:08:09,34.0122,-117.6889,68.81,20,0,9.22
172,Narsaq,GL,2022-11-20 17:09:10,60.9167,-46.05,26.82,82,100,0.38
173,Cheyenne,US,2022-11-20 17:06:04,41.14,-104.8203,38.77,30,0,7.0
174,Cherskiy,RU,2022-11-20 17:09:10,68.75,161.3,-13.49,98,100,8.43
175,Dingle,PH,2022-11-20 17:09:11,10.9995,122.6711,76.08,91,98,5.44
176,High Level,CA,2022-11-20 17:10:11,58.5169,-117.136,21.16,74,100,4.9
177,Omboue,GA,2022-11-20 17:10:12,-1.5746,9.2618,76.08,89,100,6.96
178,Bengkulu,ID,2022-11-20 17:10:12,-3.8004,102.2655,74.71,90,77,5.41
179,Avarua,CK,2022-11-20 17:10:12,-21.2078,-159.775,71.65,73,34,4.61
180,Klaksvik,FO,2022-11-20 17:10:13,62.2266,-6.589,47.32,88,100,28.66
181,Havre-Saint-Pierre,CA,2022-11-20 17:10:13,50.2334,-63.5986,23.36,80,100,16.11
182,Uzunovo,RU,2022-11-20 17:10:14,54.5386,38.6173,22.3,97,100,4.36
183,Taungdwingyi,MM,2022-11-20 17:10:14,20.0167,95.55,71.98,57,8,3.96
184,Houlton,US,2022-11-20 17:10:15,46.1262,-67.8403,30.61,70,100,12.66
185,Honiara,SB,2022-11-20 17:10:15,-9.4333,159.95,79.56,85,79,5.14
186,Lasa,IT,2022-11-20 17:10:16,46.6166,10.7002,36.01,79,34,3.98
187,Daru,PG,2022-11-20 17:10:16,-9.0763,143.2092,78.33,87,97,1.28
188,Luba,GQ,2022-11-20 17:10:17,3.4568,8.5547,80.29,83,95,9.17
189,Melville,US,2022-11-20 17:10:18,40.7934,-73.4151,38.68,34,0,16.11
190,Boyolangu,ID,2022-11-20 17:10:18,-8.1181,111.8935,76.98,87,85,2.95
191,East London,ZA,2022-11-20 17:10:19,-33.0153,27.9116,66.7,71,45,9.24
192,Aasiaat,GL,2022-11-20 17:10:19,68.7098,-52.8699,17.51,94,100,4.92
193,Caravelas,BR,2022-11-20 17:06:14,-17.7125,-39.2481,75.74,86,100,5.5
194,Tuatapere,NZ,2022-11-20 17:10:20,-46.1333,167.6833,50.83,96,41,4.7
195,Katherine,AU,2022-11-20 17:10:20,-14.4667,132.2667,79.12,89,100,4.61
196,Kungurtug,RU,2022-11-20 17:10:21,50.5994,97.5228,11.48,84,100,1.34
197,Makakilo City,US,2022-11-20 17:10:21,21.3469,-158.0858,75.18,70,0,8.05
198,Crotone,IT,2022-11-20 17:10:22,39.0851,17.1178,57.2,85,82,12.24
199,Vestmannaeyjar,IS,2022-11-20 17:10:22,63.4427,-20.2734,45.59,65,40,20.71
200,Hithadhoo,MV,2022-11-20 17:10:23,-0.6,73.0833,81.16,76,6,8.12
201,Urumqi,CN,2022-11-20 17:10:23,43.801,87.6005,25.75,100,100,4.47
202,Geraldton,AU,2022-11-20 17:08:01,-28.7667,114.6,61.21,72,1,13.8
203,Mudanjiang,CN,2022-11-20 17:10:23,44.5833,129.6,28.71,72,69,1.34
204,Thompson,CA,2022-11-20 17:10:24,55.7435,-97.8558,21.36,93,100,11.5
205,Puerto Ayora,EC,2022-11-20 17:10:24,-0.7393,-90.3518,76.96,98,97,5.99
206,Temyasovo,RU,2022-11-20 17:10:25,52.9933,58.1014,6.66,97,93,0.83
207,Chokurdakh,RU,2022-11-20 17:10:25,70.6333,147.9167,-30.53,100,98,5.93
208,Almaznyy,RU,2022-11-20 17:10:25,48.0448,40.045,41.77,79,100,9.13
209,Paracuru,BR,2022-11-20 17:10:26,-3.41,-39.0306,82.11,61,35,16.71
210,Yeppoon,AU,2022-11-20 17:10:26,-23.1333,150.7333,76.78,94,95,2.15
211,Westport,US,2022-11-20 17:09:15,41.1415,-73.3579,39.04,34,40,25.32
212,Paita,PE,2022-11-20 17:10:27,-5.0892,-81.1144,72.39,64,1,12.55
213,Toktogul,KG,2022-11-20 17:10:27,41.8708,72.9402,37.49,94,96,2.33
214,Flinders,AU,2022-11-20 17:10:28,-34.5833,150.8552,65.25,48,29,7.0
215,Guerrero Negro,MX,2022-11-20 17:10:06,27.9769,-114.0611,65.64,36,0,1.25
216,Brokopondo,SR,2022-11-20 17:10:28,4.75,-55.1667,87.94,50,65,1.48
217,Itupiranga,BR,2022-11-20 17:08:52,-5.1347,-49.3267,88.12,68,70,4.07
218,Dicabisagan,PH,2022-11-20 17:10:29,17.0818,122.4157,76.91,90,93,2.84
219,Airai,TL,2022-11-20 17:10:29,-8.9266,125.4092,61.38,92,100,1.79
220,Tabas,IR,2022-11-20 17:07:46,33.5959,56.9244,61.56,33,0,6.35
221,Monte Santo De Minas,BR,2022-11-20 17:10:30,-21.1897,-46.9803,81.0,42,40,3.87
222,Mackay,AU,2022-11-20 17:10:30,-21.15,149.2,77.97,88,95,10.0
223,Te Anau,NZ,2022-11-20 17:10:31,-45.4167,167.7167,48.74,95,39,1.66
224,Douglas,US,2022-11-20 17:06:20,41.3,-96.167,41.67,40,0,21.85
225,Hofn,IS,2022-11-20 17:10:31,64.2539,-15.2082,44.96,85,100,7.45
