City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Hotel Name
402,Umm Lajj,SA,2022-11-20 17:15:41,25.0213,37.2685,80.87,67,0,2.26,Moon light Furnished Units
404,Maningrida,AU,2022-11-20 17:15:42,-12.0667,134.2667,81.18,80,77,5.93,Dhukurrdji Lodge
405,Maumere,ID,2022-11-20 17:15:42,-8.6199,122.2111,79.34,81,98,2.42,Sylvia Hotel
406,Gizo,SB,2022-11-20 17:15:43,-8.103,156.8419,82.24,72,45,10.71,Imagination Island
409,Kroya,ID,2022-11-20 17:15:44,-7.6331,109.2461,76.37,89,73,4.21,Wisma Legoq Kost
411,Fare,PF,2022-11-20 17:15:44,-16.7,-151.0167,77.99,76,99,18.19,Maitai Lapita Village Huahine
413,Tahta,EG,2022-11-20 17:15:45,26.7693,31.5021,74.37,21,2,6.51,فندق الزيات
417,Saint-Georges,GD,2022-11-20 17:16:46,12.0564,-61.7485,83.88,79,20,19.57,Radisson Grenada Beach Resort
419,Bandar-E Lengeh,IR,2022-11-20 17:16:47,26.5579,54.8807,78.91,57,0,4.61,کافی نت پارس
421,Ishigaki,JP,2022-11-20 17:16:48,24.3448,124.1572,71.73,88,20,6.91,Hotel Peace Land Ishigakijima
423,Liuzhou,CN,2022-11-20 17:16:48,24.3126,109.3892,70.29,73,60,3.02,Linjiang Inn
430,Ponta Do Sol,PT,2022-11-20 17:16:50,32.6667,-17.1,70.0,70,64,3.58,Hotel do Campo
431,Matay,EG,2022-11-20 17:16:50,28.419,30.7792,73.0,28,24,5.82,Nag Aespen
440,Vila Franca Do Campo,PT,2022-11-20 17:16:53,37.7167,-25.4333,67.19,88,100,12.8,Pestana Bahia Praia
446,Maragogi,BR,2022-11-20 17:14:45,-9.0122,-35.2225,83.07,59,54,10.07,Salinas do Maragogi All Inclusive Resort
448,Taltal,CL,2022-11-20 17:16:55,-25.4,-70.4833,65.64,72,25,5.93,Residencial Karime
449,Kamina,CD,2022-11-20 17:16:55,-8.7386,24.9906,73.2,73,82,0.98,LEANIF HOTEL RESTAURANT
450,Kloulklubed,PW,2022-11-20 17:16:56,7.0419,134.2556,75.7,76,50,7.63,Storyboard Beach Resort
454,Mahibadhoo,MV,2022-11-20 17:16:57,3.7833,72.9667,81.81,78,85,15.28,Omadhoo Inn
455,Xuddur,SO,2022-11-20 17:16:57,4.1213,43.8894,81.99,54,75,11.48,Banjanay Hotel
458,Dong Hoi,VN,2022-11-20 17:16:58,17.4833,106.6,74.73,90,99,4.92,Nam Long Hotel
461,Masumbwe,TZ,2022-11-20 17:17:59,-3.6333,32.1833,66.85,86,60,3.58,Ngabanya Logde & Filling Station
463,Malanje,AO,2022-11-20 17:18:00,-9.5402,16.341,70.09,80,52,5.28,Hotel Ginga
464,Nhulunbuy,AU,2022-11-20 17:18:00,-12.2333,136.7667,81.21,78,58,0.0,East Arnhem Real Estate
465,Mersing,MY,2022-11-20 17:18:01,2.4312,103.8405,77.99,87,93,2.44,Timotel Hotel
469,Sola,VU,2022-11-20 17:18:02,-13.8833,167.55,81.9,74,39,8.72,Leumerus Bungalows
470,Arlit,NE,2022-11-20 17:18:02,18.7369,7.3853,82.71,10,61,7.96,Case de Passage De la Prefecture
471,Palasa,IN,2022-11-20 17:18:03,18.7667,84.4167,72.46,57,73,6.24,Balaji tifen & meals veg & non veg hotel
474,Souillac,MU,2022-11-20 17:18:04,-20.5167,57.5167,75.58,73,75,9.22,Shanti Maurice Resort & Spa
475,Hobyo,SO,2022-11-20 17:18:04,5.3505,48.5268,81.55,74,23,14.45,Halane Hotel and Restaurent
476,Batticaloa,LK,2022-11-20 17:18:04,7.7102,81.6924,76.66,80,14,12.08,Treatooo Hotel
482,Bafut,CM,2022-11-20 17:18:07,6.0833,10.1,72.79,53,97,1.05,Emmanuel Sisterhood Bafut
483,General Roca,AR,2022-11-20 17:18:07,-39.0333,-67.5833,71.06,22,0,1.01,Hotel El Recreo
484,Mweka,CD,2022-11-20 17:18:07,-4.85,21.5667,76.3,67,54,1.74,Guest House Boshab
489,Tual,ID,2022-11-20 17:18:09,-5.6667,132.75,83.79,68,100,2.91,Grand Vilia Hotel
491,Dunmore Town,BS,2022-11-20 17:18:10,25.5,-76.65,80.58,67,25,10.0,Coral Sands Hotel
